,0
A0A022L842,0
A0A0Q6PST5,0
A0A3S9X858,0
T5KCW4,0
A0A062VRK7,1
A0A067LLL6,1
A0A078MQG5,1
A0A0B2A6P9,1
A0A0B9A4Q8,1
A0A0D0JVT3,1
A0A0D5CH51,1
A0A0F0KY92,1
A0A0F0LFI7,1
A0A0F2CDX5,1
A0A0H0ZPK5,1
A0A0L6HUF2,1
A0A0M8XMN0,1
A0A0Q5FFM7,1
A0A0Q5L880,1
A0A0Q5LPG3,1
A0A0Q7RYC0,1
A0A0Q7VKY9,1
A0A0Q8AG10,1
A0A0Q8UQ74,1
A0A0Q9DDI5,1
A0A0Q9R0V3,1
A0A0U5BCE3,1
A0A0V8IQA8,1
A0A144MXL8,1
A0A147E634,1
A0A147EBG1,1
A0A1C4XUN0,1
A0A1C4Y087,1
A0A1C4YCQ7,1
A0A1C4Z0N9,1
A0A1C5A985,1
A0A1C5AGL9,1
A0A1C5GA94,1
A0A1C5HBF3,1
A0A1C5HT74,1
A0A1C5HTY5,1
A0A1C5HW11,1
A0A1C6SDV5,1
A0A1C6SH26,1
A0A1C6T1S6,1
A0A1C6W1L8,1
A0A1G6MDI1,1
A0A1G8ML03,1
A0A1H0XY93,1
A0A1H1BFQ2,1
A0A1H4IYE7,1
A0A1H7QIV4,1
A0A1H8YJP0,1
A0A1N5V1T4,1
A0A1Q3L3U4,1
A0A1Q5HED1,1
A0A1R3XPZ7,1
A0A1R4HTJ0,1
A0A1R4KNK4,1
A0A1S2GK50,1
A0A1S7D544,1
A0A1T5DKC5,1
A0A1U6H9J4,1
A0A1V0VHF2,1
A0A1V2NDW1,1
A0A1V4Q3M6,1
A0A1X4IEM1,1
A0A251XSV6,1
A0A251YKW9,1
A0A251YPW6,1
A0A259SBY3,1
A0A259VPV1,1
A0A2A3AJM6,1
A0A2A3Y929,1
A0A2A4EDY4,1
A0A2E1G537,1
A0A2G6XMG8,1
A0A2N3YXA5,1
A0A2R7R3I0,1
A0A2S5VCK8,1
A0A2S8Z7H2,1
A0A2S9BS72,1
A0A2T7TMC5,1
A0A2T7WX93,1
A0A2U1T0X9,1
A0A2U1TFM5,1
A0A2W0D9J9,1
A0A2W1QQ65,1
A0A2W1S8V6,1
A0A2W1TJT5,1
A0A2W1UB76,1
A0A2W1VIR5,1
A0A2W2BJV3,1
A0A2W6UTB8,1
A0A317DCQ9,1
A0A317JZF0,1
A0A317K9D7,1
A0A328HJC4,1
A0A328NS07,1
A0A329YZU0,1
A0A351CSF5,1
A0A365UQN2,1
A0A365YDG5,1
A0A366CMW1,1
A0A366IKY6,1
A0A371BUN2,1
A0A385B1N6,1
A0A386WIG0,1
A0A399T6Y5,1
A0A3A1U1H4,1
A0A3A3YPY0,1
A0A3B0FGN6,1
A0A3B9WAW1,1
A0A3D1L8K7,1
A0A3D9T2R9,1
A0A3D9ZQU2,1
A0A3G8JPC4,1
A0A3L7A0B3,1
A0A3L7BPS8,1
A0A3L7BYJ9,1
A0A3L9L4D4,1
A0A3M9KL80,1
A0A3N1GX07,1
A0A3N9WZM4,1
A0A3N9X525,1
A0A3N9XH09,1
A0A3S4AZ73,1
A0A419HB20,1
A0A419HDJ6,1
A0A433JVY6,1
A0A495CZK4,1
A0A495M9U9,1
A0A498ARL3,1
A0A4P8KTN5,1
A0A4Q7LMW7,1
A0A4Q7NAZ2,1
A0A4Q7TMD6,1
A0A4Q8BD17,1
A0A4R5DC52,1
A0A4R5Y678,1
A0A4R7NM53,1
A0A4V3IUD0,1
A0A4Y4B7X9,1
A0A4Y4DSY4,1
A0A4Y5YU25,1
A0A4Y8UQL5,1
A0A4Y9PR88,1
A0A4Y9V974,1
A0A542F4D4,1
A0A542FT44,1
A0A543BAC5,1
A0A554W2B3,1
A0A559VEX7,1
A0A560AQT3,1
A0A561W3G6,1
A0A561WX33,1
A0A5C4IPU8,1
A0A5C4QZ30,1
A0A5F0DH42,1
A0A5J6KXQ4,1
A0A5J6L8V9,1
A0A6D1IF82,1
A0A6I6DXH2,1
A0A6N3K280,1
A0K0Z3,1
A5CQF5,1
B0RFZ4,1
B2GIT4,1
D9TA86,1
F0M7N2,1
F4H0X5,1
F8A4W1,1
H0R8H9,1
H6MWP6,1
I0L3H4,1
I4EVD1,1
L8TQC7,1
M5B844,1
M7MTB4,1
M7NMY0,1
A0A0F2TJB9,1
A0A0N0AU04,1
A0A1C4QB54,1
A0A0M2S1E9,2
A0A0N0T9D5,2
A0A0W7X0L0,2
A0A117RUH0,2
A0A1G7RFF7,2
A0A1H0PLJ7,2
A0A0N9NBG5,3
A0A1H1N5H8,3
A0A1M5E3K0,3
H5USG6,3
A0A143CBA4,3
A0A438BE43,4
D3CYL3,4
A0A087K146,4
A0A0A0JJH4,4
A0A0U3L983,4
A0A1B2I0V3,4
A0A1E7LYS8,4
A0A1E7NFC2,4
